schemaVersion,runId,time,agent,position,x,y,target,action,actionSource,pathLength,stepDistance,totalDisplacement,moveUsePosition,moveX,moveY,clearTarget,clearUseTarget,clearX,clearY,clearRequestTarget,moveRequestTarget,moveCount,clearCount,restCount,otherActionCount,targetChangeCount,samePositionStreak,maxSamePositionStreak,possibleStuck,stuckStatus,failedMoveStreak,confirmedStuckEvents,clearModuleCalls,clearNullResults,clearActionResults,clearMoveResults,clearRestResults,moveModuleCalls,moveNullResults,moveActionResults,moveRestResults,fallbackRestCount,clearCalcUs,moveCalcUs
"URF_POLICE_OBS_V2","20260912-173002",1,849846856,41854,2086209.0,1406993.0,41336,"MOVE","MOVE_MODULE",37,0.0,0.0,false,0,0,,false,0,0,41336,41336,1,0,0,0,1,0,0,false,"MOVE_PENDING",0,0,1,1,0,0,0,1,0,1,0,0,2.775,779.157
"URF_POLICE_OBS_V2","20260912-173002",2,849846856,41854,2086209.0,1406993.0,41336,"MOVE","MOVE_MODULE",37,0.0,0.0,false,0,0,,false,0,0,41336,41336,2,0,0,0,1,1,1,false,"MOVE_PENDING",1,0,2,2,0,0,0,2,0,2,0,0,17.583,694.549
"URF_POLICE_OBS_V2","20260912-173002",3,849846856,41854,2086209.0,1406993.0,41336,"MOVE","MOVE_MODULE",37,0.0,0.0,false,0,0,,false,0,0,41336,41336,3,0,0,0,1,2,2,true,"POSSIBLE_STUCK",2,0,3,3,0,0,0,3,0,3,0,0,15.889,239.087
"URF_POLICE_OBS_V2","20260912-173002",4,849846856,39290,2064634.0,1386618.0,41336,"MOVE","MOVE_MODULE",36,29675.26326757692,29675.26326757692,false,0,0,,false,0,0,41336,41336,4,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,4,4,0,0,0,4,0,4,0,0,14.878,241.462
"URF_POLICE_OBS_V2","20260912-173002",5,849846856,39290,2044735.0,1351860.0,41336,"MOVE","MOVE_MODULE",36,40051.07695181242,69726.34021938934,false,0,0,,false,0,0,41336,41336,5,0,0,0,1,1,2,false,"MOVE_PENDING",0,0,5,5,0,0,0,5,0,5,0,0,8.476,366.976
"URF_POLICE_OBS_V2","20260912-173002",6,849846856,40972,2021403.0,1328001.0,41336,"MOVE","MOVE_MODULE",31,33371.1567824671,103097.49700185645,false,0,0,,false,0,0,41336,41336,6,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,6,6,0,0,0,6,0,6,0,0,5.43,115.957
"URF_POLICE_OBS_V2","20260912-173002",7,849846856,39959,1985059.0,1343378.0,41336,"MOVE","MOVE_MODULE",30,39463.127917082296,142560.62491893873,false,0,0,,false,0,0,41336,41336,7,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,7,7,0,0,0,7,0,7,0,0,5.009,134.581
"URF_POLICE_OBS_V2","20260912-173002",8,849846856,39959,1947787.0,1358035.0,41336,"MOVE","MOVE_MODULE",30,40050.33873764366,182610.9636565824,false,0,0,,false,0,0,41336,41336,8,0,0,0,1,1,2,false,"MOVE_PENDING",0,0,8,8,0,0,0,8,0,8,0,0,12.363,162.985
"URF_POLICE_OBS_V2","20260912-173002",9,849846856,39958,1910724.0,1373210.0,41336,"MOVE","MOVE_MODULE",28,40049.30204135898,222660.2656979414,false,0,0,,false,0,0,41336,41336,9,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,9,9,0,0,0,9,0,9,0,0,5.951,89.708
"URF_POLICE_OBS_V2","20260912-173002",10,849846856,40865,1876247.0,1381283.0,41336,"MOVE","MOVE_MODULE",26,35409.55885068324,258069.82454862463,false,0,0,,false,0,0,41336,41336,10,0,0,0,1,0,2,false,"MOVE_PENDING",0,0,10,10,0,0,0,10,0,10,0,0,14.307,101.129
